,turns,turns,turns,turns,opening_moves,opening_moves,opening_moves,opening_moves,base_time,base_time,base_time,base_time,increment,increment,increment,increment,rating_diff,rating_diff,rating_diff,rating_diff,hierarchical_cluster,hierarchical_cluster,hierarchical_cluster,hierarchical_cluster
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
kmeans_cluster,,,,,,,,,,,,,,,,,,,,,,,,
0,0.227568863264817,0.1350621222637648,0.9252028058039492,4790,1.1898518137647478,1.1379784895626692,1.0112348372193698,4790,-0.05168777445802963,-0.2228534740936983,0.46341229116031885,4790,0.20142017121824618,-0.3673832926032527,1.2179846682920128,4790,-0.12691426285416424,-0.071476719924664,0.7339779291101847,4790,1.6421711899791231,2.0,0.7666412876861065,4790
1,-0.5539571162943352,-0.5202898351608317,0.6023591661990214,5046,-0.746098062018957,-0.6495986538039233,0.33168649144341356,5046,-0.14228813318789857,-0.2228534740936983,0.31339048264174674,5046,-0.1018343831264078,-0.3673832926032527,0.3722408164302675,5046,-0.008682261201464491,-0.025297629778562848,0.557854745616474,5046,1.8349187475227904,3.0,1.3002620241147942,5046
2,-0.5339368576179556,-0.5202898351608317,0.5636054229152406,5051,0.10875024795927889,0.0654322035427136,0.672526688280628,5051,0.3395418867809677,-0.2228534740936983,1.8477894648874,5051,0.05842941555870615,-0.3673832926032527,1.4921856434682566,5051,0.7117897826362367,0.5147969462780108,1.069850092074142,5051,0.0,0.0,0.0,5051
3,0.8513107371129445,0.8202028050258431,1.035154286889512,5171,-0.48034748973657004,-0.6495986538039233,0.5347633627962027,5171,-0.14493438607823814,-0.2228534740936983,0.30654410608533844,5171,-0.14428027477597555,-0.3673832926032527,0.35144448322037786,5171,-0.5692361599306895,-0.328473395520357,1.0606154430485792,5171,0.8348481918391026,1.0,0.3760119436738872,5171
